Date,Open,High,Low,Close,Adj Close,Volume
5/10/2020,9591.168945,9595.581055,8395.107422,8756.430664,8756.430664,63325279337
5/11/2020,8755.535156,9033.470703,8374.323242,8601.795898,8601.795898,57119858802
5/12/2020,8610.385742,8949.898438,8569.643555,8804.477539,8804.477539,42142717533
5/13/2020,8805.387695,9317.878906,8805.387695,9269.987305,9269.987305,45558144023
5/14/2020,9271.329102,9793.268555,9255.035156,9733.72168,9733.72168,56426907637
5/15/2020,9734.291016,9755.828125,9261.398438,9328.197266,9328.197266,48158802327
5/16/2020,9333.240234,9564.205078,9260.694336,9377.013672,9377.013672,36164766408
5/17/2020,9374.929688,9823.001953,9349.545898,9670.739258,9670.739258,40084250663
5/18/2020,9675.695313,9906.030273,9570.359375,9726.575195,9726.575195,41827139896
5/19/2020,9727.063477,9836.047852,9539.624023,9729.038086,9729.038086,39254288955
5/20/2020,9725.329102,9804.793945,9447.201172,9522.981445,9522.981445,36546239703
5/21/2020,9522.740234,9555.242188,8869.930664,9081.761719,9081.761719,39326160532
5/22/2020,9080.334961,9232.936523,9008.638672,9182.577148,9182.577148,29810773699
5/23/2020,9185.0625,9302.501953,9118.108398,9209.287109,9209.287109,27727866812
5/24/2020,9212.283203,9288.404297,8787.250977,8790.368164,8790.368164,32518803300
5/25/2020,8786.107422,8951.005859,8719.667969,8906.93457,8906.93457,31288157264
5/26/2020,8909.585938,8991.967773,8757.293945,8835.052734,8835.052734,29584186947
5/27/2020,8837.380859,9203.320313,8834.157227,9181.017578,9181.017578,32740536902
5/28/2020,9184.945313,9546.319336,9148.457031,9525.750977,9525.750977,34367073114
5/29/2020,9528.355469,9573.666992,9379.338867,9439.124023,9439.124023,32896642044
5/30/2020,9438.914063,9704.030273,9366.729492,9700.414063,9700.414063,32722975141
5/31/2020,9700.105469,9700.34375,9432.296875,9461.058594,9461.058594,27773290299
6/1/2020,9463.605469,10199.56543,9450.899414,10167.26856,10167.26856,35198901068
6/2/2020,10162.97363,10182.34082,9460.571289,9529.803711,9529.803711,39137252109
6/3/2020,9533.760742,9682.859375,9471.84668,9656.717773,9656.717773,25007459262
6/4/2020,9655.854492,9887.610352,9525.24707,9800.636719,9800.636719,25921805072
